state,year,factor
KY,2065,906.9824864636071
KY,2066,906.9824864636071
KY,2067,906.9824864636071
KY,2068,906.9824864636071
KY,2069,906.9824864636071
LA,2020,1107.3828462583128
LA,2021,1107.3828462583128
LA,2022,1107.3828462583128
LA,2023,1107.3828462583128
LA,2024,1107.3828462583128
LA,2025,1064.5029012857383
LA,2026,955.9251485916872
LA,2027,955.9251485916872
LA,2028,880.4167622003927
LA,2029,880.4167622003927
LA,2030,870.6061835305748
LA,2031,859.0098590804081
LA,2032,847.4135346302414
LA,2033,835.8172101800748
LA,2034,824.2208857299081
LA,2035,812.6245612797414
LA,2036,797.9858551297211
LA,2037,783.3471489797007
LA,2038,768.7084428296805
LA,2039,754.0697366796601
LA,2040,739.4310305296398
LA,2041,710.5063581368286
LA,2042,681.5816857440174
LA,2043,652.6570133512062
LA,2044,623.7323409583951
LA,2045,594.8076685655839
LA,2046,583.2113441154172
LA,2047,571.6150196652505
LA,2048,560.0186952150839
LA,2049,548.4223707649171
LA,2050,536.8260463147504
LA,2051,536.8260463147504
LA,2052,536.8260463147504
LA,2053,536.8260463147504
LA,2054,536.8260463147504
LA,2055,536.8260463147504
LA,2056,536.8260463147504
LA,2057,536.8260463147504
LA,2058,536.8260463147504
LA,2059,536.8260463147504
LA,2060,536.8260463147504
LA,2061,536.8260463147504
LA,2062,536.8260463147504
LA,2063,536.8260463147504
LA,2064,536.8260463147504
LA,2065,536.8260463147504
LA,2066,536.8260463147504
LA,2067,536.8260463147504
LA,2068,536.8260463147504
LA,2069,536.8260463147504
MA,2020,854.5124252632332
MA,2021,854.5124252632332
MA,2022,854.5124252632332
MA,2023,854.5124252632332
MA,2024,854.5124252632332
MA,2025,793.9954849291884
MA,2026,668.2216617577038
MA,2027,668.2216617577038
MA,2028,553.9118855711747
MA,2029,553.9118855711747
MA,2030,504.85899222208565
MA,2031,490.9257658865242
MA,2032,476.9925395509627
MA,2033,463.05931321540123
MA,2034,449.1260868798397
MA,2035,435.19286054427823
MA,2036,426.10980793312103
MA,2037,417.02675532196383
MA,2038,407.94370271080675
MA,2039,398.86065009964955
MA,2040,389.77759748849235
MA,2041,379.0631228063992
MA,2042,368.348648124306
MA,2043,357.6341734422128
MA,2044,346.9196987601197
MA,2045,336.20522407802645
MA,2046,331.2668653768148
MA,2047,326.32850667560314
MA,2048,321.3901479743915
MA,2049,316.4517892731798
MA,2050,311.5134305719682
MA,2051,311.5134305719682
MA,2052,311.5134305719682
MA,2053,311.5134305719682
MA,2054,311.5134305719682
MA,2055,311.5134305719682
MA,2056,311.5134305719682
MA,2057,311.5134305719682
MA,2058,311.5134305719682
MA,2059,311.5134305719682
MA,2060,311.5134305719682
MA,2061,311.5134305719682
MA,2062,311.5134305719682
MA,2063,311.5134305719682
MA,2064,311.5134305719682
MA,2065,311.5134305719682
MA,2066,311.5134305719682
MA,2067,311.5134305719682
MA,2068,311.5134305719682
MA,2069,311.5134305719682
MD,2020,903.0141625072764
MD,2021,903.0141625072764
MD,2022,903.0141625072764
MD,2023,903.0141625072764
MD,2024,903.0141625072764
MD,2025,834.009418155524
MD,2026,680.2368648477054
